70,2,0,1,2
1400,20,0,,
1500,22,0,,
1300,19,0,,
1400,20,0,,
1500,25,0,,
1340,20,0,,
1400,19,0,,
1500,17,0,,
1300,19,0,,
1400,22,0,,
1500,24,0,,
1340,21,0,,
1400,23,0,,
1500,17,0,,
1300,22,0,,
1400,23,0,,
1500,20,0,,
1340,24,0,,
1400,16,0,,
1500,26,0,,
1300,15,0,,
1400,16,0,,
1500,25,0,,
1340,20,0,,
65,120,1,,
60,122,1,,
64,125,1,,
70,60,1,,
66,40,1,,
55,100,1,,
60,45,1,,
70,110,1,,
55,120,1,,
65,100,1,,
70,122,1,,
64,125,1,,
70,60,1,,
57,40,1,,
54,100,1,,
72,45,1,,
70,110,1,,
55,120,1,,
73,16,1,,
50,59,1,,
55,110,1,,
60,50,1,,
55,100,1,,
60,120,1,,
60,20,2,,
60,15,2,,
59,18,2,,
55,16,2,,
60,17,2,,
60,18,2,,
55,15,2,,
50,16,2,,
65,9,2,,
60,10,2,,
59,14,2,,
60,20,2,,
60,16,2,,
55,20,2,,
60,18,2,,
55,17,2,,
58,15,2,,
54,10,2,,
55,16,2,,
60,15,2,,
60,10,2,,
59,14,2,,
