70,4,0,1,2
1400,20,0,0,0
1500,22,0,0,0
1300,19,0,0,0
1400,20,0,0,0
1500,25,0,0,0
1340,20,0,0,0
1400,19,0,0,0
1500,17,0,0,0
1300,19,0,0,0
1400,22,0,0,0
1500,24,0,0,0
1340,21,0,0,0
1400,23,0,0,0
1500,17,0,0,0
1300,22,0,0,0
1400,23,0,0,0
1500,20,0,0,0
1340,24,0,0,0
1400,16,0,0,0
1500,26,0,0,0
1300,15,0,0,0
1400,16,0,0,0
1500,25,0,0,0
1340,20,0,0,0
65,120,0,0,1
60,122,0,0,1
64,125,0,0,1
70,60,0,0,1
66,40,0,0,1
55,100,0,0,1
60,45,0,0,1
70,110,0,0,1
55,120,0,0,1
65,100,0,0,1
70,122,0,0,1
64,125,0,0,1
70,60,0,0,1
57,40,0,0,1
54,100,0,0,1
72,45,0,0,1
70,110,0,0,1
55,120,0,0,1
73,16,0,0,1
50,59,0,0,1
55,110,0,0,1
60,50,0,0,1
55,100,0,0,1
60,120,0,0,1
60,20,0,0,2
60,15,0,0,2
59,18,0,0,2
55,16,0,0,2
60,17,0,0,2
60,18,0,0,2
55,15,0,0,2
50,16,0,0,2
65,9,0,0,2
60,10,0,0,2
59,14,0,0,2
60,20,0,0,2
60,16,0,0,2
55,20,0,0,2
60,18,0,0,2
55,17,0,0,2
58,15,0,0,2
54,10,0,0,2
55,16,0,0,2
60,15,0,0,2
60,10,0,0,2
59,14,0,0,2
